"","GENE_SYMBOL","GSM1443061","GSM1443062","GSM1443063","GSM1443064","GSM1443065","GSM1443066","Tetanis_Means"
"HEYL","HEYL",0.2,0.27,0.95,0.28,0.84,0.13,0.445
"KIF18A","KIF18A",0.43,0.04,0.05,78747057,0.07,0.33,13124509.6533333
"SMYD4","SMYD4",2870308,0.88,0.05,0.07,0.22,2633439,917291.37
"FAM135B","FAM135B",0.54,0.63,0.4,0.57,0.07,0.11,0.386666666666667
"ACPP","ACPP",0.03,0.04,0.05,0.07,0.07,0.1,0.06
"B3GNT4","B3GNT4",6459752,0.07,6199028,0.34,26118664,6731526,7584828.40166667
"C2orf39","C2orf39",0.42,0.78,2388389,5410469,1698446,0.37,1582884.26166667
"OMD","OMD",0.05,0.12,0.09,0.55,0.12,0.1,0.171666666666667
"AKT2","AKT2",16753228,10347717,18901445,164447888,73416730,25009929,51479489.5
"EXT2","EXT2",0.29,0.4,0.32,0.59,22246335,0.23,3707722.805
"TLE1","TLE1",11562808,28196375,17743936,6489673,4328949,5962092,12380638.8333333
"SLC35F5","SLC35F5",4057817,2711419,39454724,4062113,2412051,1526710,9037472.33333333
"SNRPF","SNRPF",68587073,120700745,113431490,520187830,453601911,407828899,280722991.333333
"NRP2","NRP2",4367356,3177733,1273602,2179276,2212349,0.5,2201719.41666667
"KIAA1468","KIAA1468",0.03,0.42,22783288,0.07,0.06,0.15,3797214.78833333
"ABCC4","ABCC4",0.03,0.04,0.05,0.08,0.06,0.1,0.06
"LOC200383","LOC200383",0.03,0.04,0.05,0.07,0.06,0.1,0.0583333333333333
"ABLIM3","ABLIM3",1096256,1127020,1274953,1130130,1057946,0.24,947717.54
"STAT3","STAT3",11355523,6139704,10807578,3685042,46933672,45309311,20705138.3333333
"KCNC1","KCNC1",0.03,0.04,0.05,0.07,0.06,0.1,0.0583333333333333
"CXCR6","CXCR6",0.71,0.79,0.3,0.34,0.44,0.31,0.481666666666667
"GLDN","GLDN",0.03,0.04,0.05,0.07,0.06,0.1,0.0583333333333333
"YWHAQ","YWHAQ",4814148,13189800,106099167,167653045,134894107,139141068,94298555.8333333
"GLIS3","GLIS3",0.19,0.12,0.2,0.17,0.06,0.11,0.141666666666667
"GATA2","GATA2",2640106,2329762,2914460,1535601,0.95,0.79,1569988.45666667
"HSPB8","HSPB8",5898546,5429712,5718725,8978197,8196123,1243057,5910726.66666667
"SPTBN4","SPTBN4",0.1,0.27,0.25,0.23,0.3,0.22,0.228333333333333
"PTPRS","PTPRS",2893834,3383003,4124220,7975368,4854699,0.49,3871854.08166667
"NAIP","NAIP",1351253,0.76,64799483,45868963,0.68,6925895,19824265.9066667
"C6orf27","C6orf27",6845687,9879932,7029433,5322283,11240476,1837548,7025893.16666667
"AMOTL2","AMOTL2",1382633,1453283,1748418,2543038,13092792,0.56,3370027.42666667
"WWP2","WWP2",0.19,0.27,8790985,0.15,0.17,0.11,1465164.315
"HSPBAP1","HSPBAP1",0.04,0.1,0.08,0.29,91003202,3198890,15700348.7516667
"RWDD4A","RWDD4A",0.03,0.04,0.05,0.07,0.07,2159017,359836.21
"SNRPB2","SNRPB2",8781673,5083928,30112604,2100633,0.78,83784350,21643864.7966667
"MLKL","MLKL",6018724,20641723,0.67,162826193,232225151,49912477,78604044.7783333
"FXYD3","FXYD3",0.61,10544068,0.2,0.19,0.39,0.31,1757344.95
"PGA3","PGA3",1056792,2580883,1408266,2289107,4302941,0.12,1939664.85333333
"C20orf7","C20orf7",0.03,4061247,16070470,39979188,101557451,2068461,27289469.505
"MAP3K7IP3","MAP3K7IP3",0.03,0.95,0.05,0.11,0.07,3175750,529291.868333333
"PVALB","PVALB",18739144,27358514,24210886,19550414,19994976,4817792,19111954.3333333
"ANAPC7","ANAPC7",5491233,14968803,28744747,8877081,75706349,68794386,33763766.5
"LOC286272","LOC286272",0.8,0.6,0.91,0.49,4596842,0.71,766140.918333333
"SCLT1","SCLT1",0.03,3412105,0.05,0.17,0.16,1275001,781184.401666667
"NLRP1","NLRP1",15102524,13545591,70762145,488678368,128083433,11912153,121347369
"LEP","LEP",0.03,0.03,0.05,0.08,0.07,0.1,0.06
"SUNC1","SUNC1",1072250,0.53,0.54,0.74,0.69,0.25,178708.791666667
"TTTY11","TTTY11",0.09,0.04,0.1,1,0.12,0.1,0.241666666666667
"FOXJ2","FOXJ2",6629369,1568706,1294135,13265970,47783072,18474926,14836029.6666667
"FOLR1","FOLR1",6442320,6496806,9574781,9156156,7139634,2870456,6946692.16666667
"WDR59","WDR59",0.3,8489024,0.44,0.24,0.55,0.1,1414837.605
"ZNF101","ZNF101",0.84,1230522,9076361,39141870,55018591,26353076,21803403.4733333
"CD33","CD33",1711371,0.11,0.15,0.3,0.32,2112204,637262.646666667
"NPY","NPY",3855234,2402016,3131375,6189966,3933919,0.65,3252085.10833333
"HRAS","HRAS",1218008,1641275,1308049,15779282,138864686,2686582,26916313.6666667
"RNPEP","RNPEP",11065608,6754700,25022187,0.24,0.1,14089810,9488717.55666667
"SNTA1","SNTA1",18263995,6199880,8350593,8619061,10117992,4993107,9424104.66666667
"MACROD1","MACROD1",2751343,3110710,5392393,7859248,2679164,0.93,3632143.155
"WDR92","WDR92",2846654,1920557,14030635,27793426,2548371,0.36,8189940.56
"DHRS1","DHRS1",32784375,0.24,0.45,0.31,0.75,0.97,5464062.95333333
"AMMECR1L","AMMECR1L",0.13,0.09,0.08,0.2,0.09,0.18,0.128333333333333
"AMELY","AMELY",0.28,0.04,0.05,0.12,0.12,0.1,0.118333333333333
"REEP6","REEP6",125483344,146571090,131912139,153547076,197993853,27982288,130581631.666667
"PAPLN","PAPLN",12076291,12658063,12740672,12948163,8483689,3073937,10330135.8333333
"C11orf17","C11orf17",0.03,0.05,0.05,0.07,0.06,2635138,439189.71
"PCDHGB3","PCDHGB3",0.03,0.04,0.05,0.07,0.1,0.1,0.065
"DNASE1L2","DNASE1L2",0.91,0.78,1345016,0.47,1463823,1498245,717847.693333333
"CYB5R3","CYB5R3",0.24,0.16,1523284,5997030,0.2,0.1,1253385.78333333
"C9orf7","C9orf7",9795541,9124559,1844924,3109891,1876667,2033890,4630912
"C2orf18","C2orf18",3014205,19414361,2991676,13199259,74802726,10196177,20603067.3333333
"FKBPL","FKBPL",0.03,0.04,0.19,0.07,0.06,0.1,0.0816666666666667
"C10orf18","C10orf18",0.08,0.04,0.35,0.65,0.06,0.39,0.261666666666667
"RSPH3","RSPH3",0.5,2216759,1190006,1537211,0.51,0.1,823996.185
"EMR2","EMR2",7972545,1052699,2087647,0.42,1354348,0.57,2077873.33166667
"SNX5","SNX5",20680419,32599522,37032949,182961337,26604032,67078939,61159533
"CDC14A","CDC14A",0.06,0.05,0.05,32596028,0.06,0.1,5432671.38666667
"PRKAR1B","PRKAR1B",0.67,0.31,0.38,1871536,1041721,0.17,485543.088333333
"LOC100128842","LOC100128842",1266719,1928991,1682665,2385914,1873085,0.63,1522895.77166667
"C19orf36","C19orf36",17817466,34088093,24987098,32272425,33988264,7058698,25035340.6666667
"IGLV6-57","IGLV6-57",4473796,14003996,3077616,4811663,9247777,9466421,7513544.83333333
"RND3","RND3",0.03,0.04,0.05,0.74,0.06,0.11,0.171666666666667
"RP11-45B20.2","RP11-45B20.2",0.26,0.1,0.1,0.12,0.09,3831702,638617.111666667
"ZNF714","ZNF714",62382730,65347893,49125558,201669433,192255526,206266115,129507875.833333
"PRLR","PRLR",0.03,0.04,0.05,0.07,0.09,0.11,0.065
"SFPQ","SFPQ",61929786,135185567,136639984,352338084,697056987,383859413,294501636.833333
"COL6A6","COL6A6",0.91,0.04,0.05,0.07,0.06,0.11,0.206666666666667
"MPDZ","MPDZ",0.2,0.32,0.76,0.67,0.19,0.11,0.375
"CCBL1","CCBL1",0.2,0.17,0.43,16532987,0.27,1952681,3080944.845
"TAF7L","TAF7L",1818983,0.56,0.53,0.72,1320423,0.11,523234.653333333
"CKS2","CKS2",0.18,0.05,0.07,0.07,0.07,0.11,0.0916666666666667
"WDR4","WDR4",0.43,1055477,0.05,0.16,1282112,0.57,389598.368333333
"ZNF561","ZNF561",0.22,0.83,0.88,0.48,0.38,0.95,0.623333333333333
"NAAA","NAAA",0.17,0.08,0.1,0.25,0.49,0.11,0.2
"WFDC5","WFDC5",2095011,2305470,5291921,2870701,13354570,0.23,4319612.205
"MYC","MYC",1157088,1899263,43455763,2261882,1159423,0.42,8322236.57
"RAB5A","RAB5A",0.17,1076925,1641085,0.07,16282344,1343019,3390562.20666667
"TULP2","TULP2",16724222,1143556,1046495,14982224,0.37,0.6,5649416.32833333
"ZSCAN12L1","ZSCAN12L1",0.83,0.51,0.44,0.67,1126226,0.11,187704.76
"SPAG9","SPAG9",0.03,0.03,0.05,0.08,0.07,0.1,0.06
"ZNF543","ZNF543",0.03,0.03,0.05,0.08,0.07,1694264,282377.376666667
"PGAM5","PGAM5",0.03,15387651,0.05,0.08,6144696,9515419,5174627.69333333
"PPP2R1B","PPP2R1B",0.16,0.07,0.09,0.08,0.2,0.1,0.116666666666667
"PDGFRB","PDGFRB",0.03,0.04,0.05,0.07,0.07,0.09,0.0583333333333333
"TOP1MT","TOP1MT",3337277,0.07,7965190,0.07,5391954,0.09,2782403.53833333
"LHX3","LHX3",0.03,0.04,0.05,0.07,0.07,0.09,0.0583333333333333
"UNQ6494","UNQ6494",1479476,1352792,1735227,1637435,1817997,0.5,1337154.58333333
"TMEM195","TMEM195",0.52,0.74,0.82,0.82,1570686,1714459,547524.65
"DNAH9","DNAH9",54728225,67816774,77717680,48194306,294074576,4344881,91146073.6666667
"CRHBP","CRHBP",0.59,0.38,0.41,0.13,0.11,1548685,258114.436666667
"TSPAN32","TSPAN32",2343430,6217247,4841376,2187447,4611549,0.38,3366841.56333333
"IGF2BP2","IGF2BP2",1050384,0.65,0.74,1362420,6984328,5815378,2535418.565
"FAR1","FAR1",0.08,0.04,7831279,0.1,0.26,6661101,2415396.74666667
"LRRC17","LRRC17",0.68,0.14,0.16,0.31,0.2,0.09,0.263333333333333
"CEACAM3","CEACAM3",0.23,0.04,0.05,0.07,0.11,12485211,2080868.58333333
"LOC751071","LOC751071",0.15,0.12,0.13,0.11,0.08,1801791,300298.598333333
"FAM29A","FAM29A",1368117,0.46,0.37,24824279,25627430,18118909,11656455.9716667
"MTMR14","MTMR14",28467828,8223604,34760551,24213760,25419111,18497221,23263679.1666667
"TMEM206","TMEM206",0.03,0.04,0.05,82245896,0.07,0.1,13707649.3816667
"SAA4","SAA4",0.04,0.05,0.05,0.11,0.07,0.1,0.07
"ADCK2","ADCK2",0.16,0.13,0.15,0.27,0.06,0.54,0.218333333333333
"MGC16142","MGC16142",0.99,0.37,1691345,0.93,0.58,7697264,1564768.645
"ZNF117","ZNF117",74997072,78480595,42238054,143622903,141624342,302277000,130539994.333333
"TMEM192","TMEM192",0.03,0.04,0.05,0.07,0.08,7716912,1286152.045
"GCUD2","GCUD2",0.17,6799180,2238673,19289421,13588404,21265557,10530205.8616667
"C8orf42","C8orf42",0.14,0.17,0.12,0.18,0.31,0.13,0.175
"C15orf55","C15orf55",0.26,0.14,0.2,0.49,0.24,0.1,0.238333333333333
"DIP2C","DIP2C",0.08,0.04,0.05,0.22,0.23,0.1,0.12
"LOC100128311","LOC100128311",0.03,0.04,0.05,0.07,0.06,0.52,0.128333333333333
"CCR10","CCR10",1067588,1431066,1188616,9233249,1796652,0.36,2452861.89333333
"PSMD12","PSMD12",0.28,12353279,7522471,42565260,24514813,16182503,17189721.0466667
"EPN1","EPN1",79801598,131598113,150768244,146493778,144124814,9908888,110449239.166667
"SCAND3","SCAND3",0.07,0.04,0.06,0.23,0.17,0.11,0.113333333333333
"MARK1","MARK1",0.03,0.04,0.05,0.07,0.06,0.11,0.06
"STAB1","STAB1",7005195,0.38,0.58,0.29,0.39,0.22,1167532.81
"ZBED1","ZBED1",0.52,0.68,0.96,0.26,0.48,0.21,0.518333333333333
"GYPB","GYPB",1856903,6429486,3556368,6277851,4474612,1455734,4008492.33333333
"LOC286528","LOC286528",1847352,0.52,26318305,4408213,13647176,11891765,9685468.58666667
"RNF44","RNF44",4185278,2674926,19776223,4009375,3745208,1438627,5971606.16666667
"KRT13","KRT13",7723852,18982524,12910300,3621606,4054972,0.9,7882209.15
"C2orf67","C2orf67",0.28,0.17,0.26,0.47,0.36,0.18,0.286666666666667
"LAMC1","LAMC1",4118614,3186618,7319874,2563531,4349281,0.79,3589653.13166667
"DENND4A","DENND4A",0.2,0.12,1396016,0.24,0.25,1840551,539427.968333333
"ZFP106","ZFP106",6370131,9893401,2292409,8045824,80270256,8783165,19275864.3333333
"C14orf91","C14orf91",0.03,0.04,0.05,0.07,0.1,0.11,0.0666666666666667
"UBXN2B","UBXN2B",0.03,0.04,0.05,0.07,0.12,1176806,196134.385
"GRAMD2","GRAMD2",0.21,0.17,0.05,0.07,0.07,0.11,0.113333333333333
"ZDHHC7","ZDHHC7",10231729,0.04,0.05,0.07,0.07,1026800,1876421.53833333
"GALNT13","GALNT13",0.2,0.38,0.1,0.17,0.37,0.11,0.221666666666667
"CRNN","CRNN",1283737,0.62,1774719,0.81,0.83,0.21,509743.078333333
"LASS3","LASS3",0.03,0.03,0.05,0.08,0.07,0.1,0.06
"LOC100132167","LOC100132167",0.94,0.9,1144309,1834452,5938454,0.76,1486202.93333333
"HLA-DPB1","HLA-DPB1",171321858,342533013,153309802,448106360,584464893,28878824,288102458.333333
"LOC100130729","LOC100130729",9380428,31110435,46475025,24138936,39279994,2074571,25409898.1666667
"OR10H2","OR10H2",32280268,33085125,27182146,25825481,30954020,8435523,26293760.5
"NUFIP2","NUFIP2",1560472,3690178,13674786,5926196,0.07,6162131,5168960.51166667
"KIAA1737","KIAA1737",0.13,0.17,0.12,0.36,0.09,0.31,0.196666666666667
"C19orf67","C19orf67",1811219,1288947,1121738,0.47,0.6,0.09,703650.86
"RNF125","RNF125",5543307,6214414,2629901,3608143,3798429,1234846,3838173.33333333
"LOC100131170","LOC100131170",16147258,31970991,24032206,28708775,17368936,2875178,20183890.6666667
"CC2D1B","CC2D1B",1691986,31181540,1777338,1951795,5236847,10432664,8712028.33333333
"SPG20","SPG20",0.16,0.16,0.07,0.29,0.1,0.09,0.145
"SDF4","SDF4",3159196,3788976,10291100,9844075,7747837,1,5805197.5
"RAMP3","RAMP3",1433924,2373403,4972995,2314147,1550737,0.61,2107534.435
"SCGB1C1","SCGB1C1",19784804,0.36,0.61,1404907,0.53,0.38,3531618.81333333
"RRN3","RRN3",0.17,0.5,2489436,7622237,0.07,6590884,2783759.62333333
"PHF3","PHF3",0.22,0.13,13572134,0.21,21100864,2473844,6191140.42666667
"SAC3D1","SAC3D1",0.92,1168177,1129388,0.82,1061121,0.34,559781.346666667
"CHSY3","CHSY3",0.65,0.21,0.42,0.61,0.27,0.1,0.376666666666667
"TP63","TP63",0.34,21856813,0.88,0.63,0.4,0.26,3642802.585
"JTV1","JTV1",0.09,13194515,19755279,1593359,0.07,0.54,5757192.28333333
"LOC643293","LOC643293",0.55,6378902,0.62,0.15,0.4,0.1,1063150.63666667
"TEPP","TEPP",26227658,36698682,24542665,7411655,82028759,7461128,30728424.5
"PHLDB2","PHLDB2",0.03,0.04,0.05,0.07,0.06,0.1,0.0583333333333333
"STMN2","STMN2",0.16,0.15,0.1,0.61,0.4,0.1,0.253333333333333
"FNIP2","FNIP2",1257480,0.17,0.28,0.52,0.32,0.13,209580.236666667
"CREB3L2","CREB3L2",0.16,0.12,13120477,0.07,4779971,1318522,3203161.725
"GRIK2","GRIK2",0.09,0.04,0.05,0.07,0.12,0.1,0.0783333333333333
"C13orf28","C13orf28",0.56,0.93,0.09,0.55,0.09,0.1,0.386666666666667
"MTMR2","MTMR2",0.03,0.04,0.05,0.07,0.06,0.1,0.0583333333333333
"MAGT1","MAGT1",18613629,70157226,33490931,183859123,30870852,47781812,64128928.8333333
"UBTD2","UBTD2",2850184,0.06,0.11,2986504,0.19,0.1,972781.41
"C1orf25","C1orf25",0.28,0.55,0.05,1739523,7502980,0.1,1540417.33
"LOC100128821","LOC100128821",0.05,0.04,0.05,0.21,0.16,0.1,0.101666666666667
"ARMC8","ARMC8",0.25,0.17,1862078,1071585,1615376,0.44,758173.31
"TUBGCP3","TUBGCP3",4227450,0.76,1087342,2816616,2490388,10246929,3478120.96
"OR3A3","OR3A3",2886186,1320769,3038974,2248969,2543314,0.63,2006368.77166667
"FGD3","FGD3",43948451,105832206,0.59,488045515,119200945,10978654,128000961.931667
"HTR5A","HTR5A",3935939,1263176,2084805,1385726,3759812,0.67,2071576.445
"ID2","ID2",17771637,0.14,9754392,27357587,1246554,2720723,9808482.19
"CSH1","CSH1",20928170,29041553,22967924,27457737,33642314,5313647,23225224.1666667
"RECQL","RECQL",1067664,1615707,5029425,92963345,0.27,23971185,20774554.3783333
"C11orf20","C11orf20",29896449,25572533,44691267,16092306,14170027,2888644,22218537.6666667
"TRIP13","TRIP13",2529879,74096284,0.05,0.1,0.43,6806427,13905431.7633333
"PRDM15","PRDM15",1801374,24360813,10588034,2928317,0.07,0.54,6613089.76833333
"LOC646262","LOC646262",0.43,0.83,1252804,1471891,1759159,0.32,747309.263333333
"SSRP1","SSRP1",79578773,136841421,218735062,464787391,104616150,309707620,219044402.833333
"OXER1","OXER1",64714267,101980525,124970920,94367962,156196004,12314691,92424061.5
"TXNDC11","TXNDC11",59676208,85244362,215333099,725718917,1084342253,220372626,398447910.833333
"CES2","CES2",16312477,15563900,16741414,65640236,16823714,2540602,22270390.5
"KDR","KDR",0.27,0.22,0.3,0.81,0.32,0.11,0.338333333333333
"TEX101","TEX101",6081779,6056867,5453204,1838154,8065353,0.4,4582559.56666667
"RPS27","RPS27",554927292,871844993,1139044407,1320115588,1810408095,456553970,1025482390.83333
"NEK4","NEK4",0.03,1085093,0.05,26291574,0.22,1792140,4861467.88333333
"HIPK1","HIPK1",0.25,5416675,0.66,0.2,0.16,20114188,4255144.045
"NR4A2","NR4A2",0.03,0.04,0.05,18999559,0.08,0.11,3166593.21833333
"KTI12","KTI12",2502722,7851965,17274435,44390070,14474468,0.11,14415610.0183333
"CHST9","CHST9",0.03,0.04,0.05,0.08,0.15,0.11,0.0766666666666667
"AP3M2","AP3M2",4662029,0.72,0.92,1044838,0.85,0.53,951145.003333333
"SYT15","SYT15",0.03,0.05,0.65,0.18,0.21,0.1,0.203333333333333
"BNIP2","BNIP2",0.07,0.13,5653636,0.81,0.09,0.1,942272.866666667
"MXI1","MXI1",0.04,0.03,0.26,0.1,0.26,0.1,0.131666666666667
"KRTAP17-1","KRTAP17-1",0.06,0.03,0.05,0.08,0.1,0.1,0.07
"PCSK6","PCSK6",0.35,0.18,0.05,0.07,0.27,0.1,0.17
"EPHA10","EPHA10",6025655,7745574,9947375,9593742,5458882,1394755,6694330.5
"RECK","RECK",0.37,5006218,0.05,0.07,0.14,0.58,834369.868333333
"GPR78","GPR78",1524724,3154295,3487051,3703032,5359295,0.69,2871399.615
"BCL2L11","BCL2L11",0.17,0.81,2214331,2585949,2148733,1490476,1406581.66333333
"TEAD3","TEAD3",4644825,2459452,1886524,5764967,3660507,2291143,3451236.33333333
"IGF1R","IGF1R",0.1,0.04,0.05,0.07,0.12,0.09,0.0783333333333333
"LOC729742","LOC729742",444532910,679742748,843680786,1405989964,1489373809,978238995,973593202
"COBRA1","COBRA1",9318511,20945118,26810912,23241599,8321477,0.84,14772936.3066667
"KPNA1","KPNA1",15174532,18069094,0.05,7253213,4889745,2018115,7900783.175
"KLHL2","KLHL2",0.05,0.04,2659331,0.07,0.07,0.09,443221.886666667
"TMEM158","TMEM158",75692423,147728516,125147568,107112222,122870815,5626378,97362987
"FAM83F","FAM83F",2735169,2533876,1841787,1779711,3417778,0.81,2051386.96833333
"TIAM1","TIAM1",32816757,25853685,38553704,52959927,23450791,13971996,31267810
"CA8","CA8",0.03,0.04,0.05,0.07,0.07,0.1,0.06
"MLLT4","MLLT4",1933769,0.04,0.05,0.07,0.06,0.1,322294.886666667
"KDELC1","KDELC1",0.03,0.56,0.07,0.28,0.16,0.27,0.228333333333333
"IRX4","IRX4",9868398,1364560,2387090,2078087,2785819,0.2,3080659.03333333
"CITED1","CITED1",2111266,1869060,1644475,1100955,1620716,0.38,1391078.73
"WNT4","WNT4",2048312,38430684,1323326,2015607,72644197,0.83,19410354.4716667
"IL2","IL2",0.16,0.1,0.07,0.07,0.14,0.22,0.126666666666667
"ABCB8","ABCB8",7389066,0.99,1369090,0.98,1001910,0.45,1626678.07
"C22orf37","C22orf37",5385795,0.2,0.32,0.57,75722572,0.46,13518061.425
"POLD3","POLD3",0.58,0.34,39152666,0.62,0.7,21100400,10042178.04
"SLC23A2","SLC23A2",0.04,1369654,0.08,4869801,0.06,4365694,1767524.86333333
"TRPV5","TRPV5",0.03,0.04,0.05,0.07,0.06,0.1,0.0583333333333333
"PRR12","PRR12",0.57,0.39,0.32,0.84,0.65,0.87,0.606666666666667
"PTPN22","PTPN22",0.97,0.09,13397360,0.32,85882346,19710140,19831641.23
"MEX3A","MEX3A",0.3,0.43,0.3,0.59,0.71,0.24,0.428333333333333
"IFI27L1","IFI27L1",99926882,274520514,285530670,284595255,1132308102,83456334,360056292.833333
"PPP1R3E","PPP1R3E",3812662,0.31,0.72,183857187,3406059,0.11,31845984.8566667
"CTAGE5","CTAGE5",3822995,1222873,12724296,4817408,1295793,6432967,5052722
"FLT3LG","FLT3LG",2209447,2759108,2137745,13074777,33587658,12193195,10993655
"GNPNAT1","GNPNAT1",33337600,8868790,20574896,0.67,186009428,29320233,46351824.6116667
"NPAL2","NPAL2",0.41,0.04,0.05,0.31,0.79,5756428,959404.933333333
"RNF141","RNF141",4484382,0.86,0.77,2304875,1165152,3256803,1868535.605
"ARHGAP22","ARHGAP22",10825275,21251908,10455588,6664543,60080034,1682095,18493240.5
"PEX1","PEX1",1686569,2703758,5893031,1860307,1501639,0.94,2274217.49
"HIVEP3","HIVEP3",10919257,11637661,29680985,22038025,17694453,2020679,15665176.6666667
"PAPOLA","PAPOLA",11141977,20772881,16851563,13896181,13120234,59107374,22481701.6666667
"FLJ35379","FLJ35379",0.98,0.6,0.28,2100221,0.36,0.11,350037.221666667
"ZNF213","ZNF213",37246213,35575759,127917484,44972487,37986798,4659074,48059635.8333333
"HINT1","HINT1",22662110,103602580,119348483,429593459,368958128,128097842,195377100.333333
"GSTZ1","GSTZ1",6644663,20696809,5641324,11003985,120077577,5814079,28313072.8333333
"SPEF1","SPEF1",0.21,0.33,0.19,0.14,0.41,0.11,0.231666666666667
"ENDOD1","ENDOD1",0.09,0.06,0.08,0.19,0.37,0.13,0.153333333333333
"KCTD12","KCTD12",2898009,2540988,33737055,7602348,0.36,0.31,7796400.11166667
"NLRP2","NLRP2",0.73,0.52,28341101,159592580,0.57,4578143,32085304.3033333
"NRBP2","NRBP2",2631571,3570152,7985641,101855280,1745491,2517322,20050909.5
"PTPN11","PTPN11",2463667,0.32,0.24,37951614,0.36,16143629,9426485.15333333
"DKFZP434C153","DKFZP434C153",0.26,0.03,0.06,0.17,0.21,0.1,0.138333333333333
"SLC7A10","SLC7A10",0.05,0.08,0.05,0.08,0.17,0.1,0.0883333333333333
"ADCY7","ADCY7",16549116,7932502,3469766,0.08,0.07,22735088,8447745.35833333
"ZDHHC14","ZDHHC14",0.49,0.65,0.53,1053019,1797328,0.1,475058.128333333
"USP33","USP33",0.26,8298705,1336806,76814802,125110001,11469069,37171563.8766667
"PARVG","PARVG",29535896,3336623,32925727,0.34,0.28,0.98,10966374.6
"WIF1","WIF1",0.2,0.14,0.05,0.08,0.07,0.09,0.105
"GP5","GP5",0.12,0.04,0.05,0.07,0.13,0.09,0.0833333333333333
"FOXP3","FOXP3",3066676,56222638,1926499,2011561,2354300,0.64,10930279.1066667
"FLJ14213","FLJ14213",0.03,0.04,0.05,0.17,0.07,0.09,0.075
"H2AFZ","H2AFZ",14546723,28873906,24187866,49475931,176933686,63428480,59574432
"HOXA7","HOXA7",0.03,0.04,0.05,0.32,0.14,0.09,0.111666666666667
"ARMC2","ARMC2",0.33,0.18,0.11,0.38,0.14,0.1,0.206666666666667
"WDHD1","WDHD1",1098736,0.71,1812951,2684649,9621406,0.19,2536290.48333333
"NPAL3","NPAL3",0.1,13158038,6011184,0.11,129232744,8947320,26224881.035
"BLOC1S2","BLOC1S2",6887563,60182404,39155916,23845410,77757013,102633788,51743682.3333333
"BTBD8","BTBD8",0.76,0.23,0.22,0.53,0.42,0.1,0.376666666666667
"KCNQ1OT1","KCNQ1OT1",0.91,0.56,0.84,1668362,0.96,0.35,278060.936666667
"C1orf212","C1orf212",0.45,12801254,0.87,0.62,0.43,0.88,2133542.875
"SOHLH2","SOHLH2",0.03,0.04,0.05,0.07,0.06,0.1,0.0583333333333333
"PSIP1","PSIP1",0.39,1171851,0.64,4424635,4243234,0.4,1639953.57166667
"SSSCA1","SSSCA1",11701587,55337650,19848449,123684107,15443866,5636905,38608760.6666667
"TNFAIP8L2","TNFAIP8L2",0.03,0.04,0.05,0.07,0.06,0.1,0.0583333333333333
"C1orf88","C1orf88",0.71,0.47,0.69,0.78,0.77,0.1,0.586666666666667
"FUT1","FUT1",13377159,15466880,9185220,12530064,11159570,1206789,10487613.6666667
"SLC29A3","SLC29A3",0.54,0.1,0.11,0.24,0.29,0.1,0.23
"LHX2","LHX2",0.22,0.2,0.5,0.52,0.49,0.13,0.343333333333333
"HMGB1L1","HMGB1L1",42993773,164069029,173666605,520137569,683265101,704627474,381459925.166667
"GCNT3","GCNT3",0.06,0.08,0.05,0.12,0.14,0.1,0.0916666666666667
"LOC144486","LOC144486",0.83,0.96,0.64,0.72,3216757,0.42,536126.761666667
"C20orf108","C20orf108",2009559,1258741,9872899,2855809,2578602,1061218,3272804.66666667
"RFX7","RFX7",0.39,0.94,0.68,1168759,0.75,4645449,969035.126666667
"PLEKHG5","PLEKHG5",4341824,2338693,3861197,2792229,5919384,0.66,3208887.94333333
"POLN","POLN",0.03,0.07,13651671,0.06,0.07,7833207,3580813.03833333
"MBIP","MBIP",2070881,4878258,0.05,26748417,0.16,8657202,7059126.36833333
