"","Females_AD1_Mean","Females_control1_Mean","males_AD1_Mean","males_control1_Mean","FC_fem_ctrl_AD","FC_male_ctrl_AD"
"ACTRT2",6.43398779999056,6.41711324914111,6.42857765818461,6.42178707045425,1.00262961711821,1.00105742959956
"ACVR1",9.20460043443166,9.05165353010105,9.17523071868426,9.0438031476102,1.01689712314131,1.01453233434308
"ACVR1B",6.60519233971268,6.61773384042716,6.61589316133638,6.59024212609675,0.998104864744202,1.00389227508623
"ACVR1C",6.76050496522924,6.77009061937936,6.78119446172211,6.80957841468733,0.998584117305213,0.995831760611788
"ACVR2A",6.93861326205139,7.22506854284964,7.02894731262497,7.20593583243044,0.960352586401169,0.97543851015035
"ACVR2B",6.86577755051641,6.7289658312426,6.79286760126967,6.76931656361205,1.02033176014041,1.00347908646852
"ACVRL1",6.70677463727787,6.59848067141028,6.64453237167003,6.63176174027618,1.01641195469994,1.00192567705144
"ACY1",7.10121357262226,7.25659105677953,7.13499466072831,7.17700363722836,0.978588088684961,0.994146724925407
"ACY3",6.63720718937817,6.67296910115109,6.63612830756231,6.64853604151751,0.994640779654329,0.998133764504287
"ACYP1",8.06900205962305,8.38505922514709,8.24510195846273,8.33084248777432,0.962307103976538,0.989708060206706
"ACYP2",8.67352314810896,8.97584148661225,8.76981534698772,8.95399596340377,0.966318663386135,0.979430344042054
"ADA",7.36923599559761,7.11684487584954,7.38572474135494,7.18575831222418,1.03546390628866,1.02782815959599
"ADAL",7.63828365482424,7.58489773720034,7.57937534682982,7.57725200113809,1.00703844922814,1.0002802263527
"ADAM10",7.30905674764094,7.34032151799633,7.44263503097355,7.36585206508767,0.995740681075245,1.01042417974287
"ADAM11",7.81754644625932,7.94740376394199,7.74865508677282,7.81065212081975,0.98366041017422,0.992062502197266
"ADAM12",6.58896470967412,6.59375653109697,6.59130570036278,6.5900078323632,0.99927327898744,1.00019694483415
"ADAM15",7.20398965094528,7.11212874230253,7.14213985131116,7.09207168209287,1.01291609192848,1.00705973817844
"ADAM17",8.03843058384974,7.5712522217094,7.85525804138417,7.59822279390831,1.06170423972943,1.0338283378163
"ADAM18",6.46031739240015,6.48200060263531,6.46324044125652,6.46869377281389,0.996654858343218,0.999156965571582
"ADAM19",6.48894111287846,6.47460751636305,6.48393898535076,6.49269965484503,1.00221381705056,0.998650689241766
"ADAM2",6.72641627031508,6.66096407860136,6.73896612926198,6.68604536690753,1.00982623400177,1.00791510668121
"ADAM20",6.43899438008975,6.42438168537129,6.43727321418915,6.42178406142793,1.00227456826728,1.00241197035171
"ADAM21",6.50613602675895,6.53546877950566,6.50760473973953,6.5212527463157,0.995511759946172,0.997907149575842
"ADAM21P",6.46389098934255,6.45190103531412,6.44595306594186,6.4718623620919,1.00185835987917,0.99599662435626
"ADAM22",7.8121882074733,7.37697898429736,7.50880334403158,7.43583104038705,1.0589955894008,1.0098136043232
"ADAM23",7.60185675087925,8.23327830334098,7.6974813397243,8.21978168983772,0.923308610592513,0.936458123850278
"ADAM28",6.56736897838911,6.53500506066221,6.5862083553291,6.529532267707,1.00495239367475,1.00867996133542
"ADAM30",6.45597874322373,6.47060752658326,6.45558182990512,6.46159298441686,0.997739194766576,0.999069710127791
"ADAM32",6.55733280437824,6.64246700592019,6.57988211013596,6.63020890474614,0.987183345966781,0.992409470752248
"ADAM33",6.6015851543488,6.61606065128264,6.59026413724594,6.59252858090566,0.997812067074833,0.999656513637835
"ADAM3A",6.47386866167166,6.48166787414684,6.47824802572401,6.47424930285981,0.99879672753578,1.00061763498394
"ADAM5",6.45642049670435,6.46865288024171,6.44304807999281,6.45419891937543,0.998108975119886,0.998272312409036
"ADAM6",6.58000685757385,6.55437536982143,6.57991684405049,6.57172836171325,1.00391059197959,1.00124601655555
"ADAM7",6.55528390278324,6.51228302695711,6.56191670486052,6.51673000310251,1.00660304161354,1.00693395333802
"ADAM8",6.66334142940095,6.69473917432139,6.72214684604291,6.71978593028323,0.995310086905122,1.00035133794204
"ADAM9",7.11858391824269,7.16682749243208,7.11906135868991,7.12256561555155,0.993268489545711,0.999508006377086
"ADAMDEC1",6.47034301846135,6.47821874219458,6.4720541006397,6.47962444962227,0.998784276350237,0.998831668557116
"ADAMTS1",8.47291551635449,7.82907628178255,8.48378557178215,7.79153549040466,1.08223693465219,1.08884642600037
